 -7.87376E-03, -8.06374E-03, -8.25578E-03, -8.44951E-03, -8.64448E-03, -8.84019E-03, -9.03609E-03, -9.23153E-03, -9.42583E-03, -9.61820E-03, -9.80779E-03, -9.99366E-03, -1.01748E-02, -1.03500E-02, -1.05182E-02, -1.06779E-02, -1.08279E-02, -1.09666E-02, -1.10924E-02, -1.12038E-02, -1.12989E-02, -1.13760E-02, -1.14333E-02, -1.14690E-02, -1.14813E-02, -1.14684E-02, -1.14286E-02, -1.13603E-02, -1.12622E-02, -1.11329E-02, -1.09716E-02, -1.07774E-02, -1.05499E-02, -1.02891E-02, -9.99515E-03, -9.66864E-03, -9.31051E-03, -8.92206E-03, -8.50489E-03, -8.06091E-03, -7.59232E-03, -7.10155E-03, -6.59123E-03, -6.06417E-03, -5.52333E-03, -4.97180E-03, -4.41275E-03, -3.84943E-03, -3.28519E-03, -2.72339E-03, -2.16748E-03, -1.62090E-03, -1.08711E-03, -5.69555E-04, -7.15990E-05,  4.03512E-04,  8.52716E-04,  1.27321E-03,  1.66253E-03,  2.01862E-03,  2.33990E-03,  2.62534E-03,  2.87449E-03,  3.08748E-03,  3.26501E-03,  3.40835E-03,  3.51924E-03,  3.59981E-03,  3.65253E-03,  3.68008E-03,  3.68525E-03,  3.67088E-03,  3.63977E-03,  3.59459E-03,  3.53786E-03,  3.47190E-03,  3.39881E-03,  3.32044E-03,  3.23843E-03,  3.15416E-03,  3.06882E-03,  2.98339E-03,  2.89867E-03,  2.81529E-03,  2.73375E-03,  2.65441E-03,  2.57756E-03,  2.50337E-03,  2.43194E-03,  2.36334E-03,  2.29757E-03,  2.23458E-03,  2.17434E-03,  2.11674E-03,  2.06170E-03,  2.00911E-03,  1.95886E-03,  1.91083E-03,
 -8.08842E-03, -8.29083E-03, -8.49588E-03, -8.70321E-03, -8.91237E-03, -9.12285E-03, -9.33410E-03, -9.54547E-03, -9.75623E-03, -9.96557E-03, -1.01726E-02, -1.03764E-02, -1.05757E-02, -1.07695E-02, -1.09564E-02, -1.11350E-02, -1.13038E-02, -1.14611E-02, -1.16053E-02, -1.17344E-02, -1.18467E-02, -1.19399E-02, -1.20122E-02, -1.20614E-02, -1.20855E-02, -1.20823E-02, -1.20498E-02, -1.19864E-02, -1.18901E-02, -1.17595E-02, -1.15934E-02, -1.13909E-02, -1.11513E-02, -1.08745E-02, -1.05607E-02, -1.02104E-02, -9.82474E-03, -9.40509E-03, -8.95325E-03, -8.47139E-03, -7.96196E-03, -7.42770E-03, -6.87157E-03, -6.29672E-03, -5.70645E-03, -5.10419E-03, -4.49345E-03, -3.87785E-03, -3.26108E-03, -2.64689E-03, -2.03909E-03, -1.44157E-03, -8.58229E-04, -2.92986E-04,  2.50285E-04,  7.67814E-04,  1.25601E-03,  1.71156E-03,  2.13153E-03,  2.51346E-03,  2.85547E-03,  3.15634E-03,  3.41555E-03,  3.63331E-03,  3.81056E-03,  3.94890E-03,  4.05051E-03,  4.11809E-03,  4.15467E-03,  4.16354E-03,  4.14812E-03,  4.11181E-03,  4.05793E-03,  3.98964E-03,  3.90987E-03,  3.82125E-03,  3.72617E-03,  3.62668E-03,  3.52456E-03,  3.42130E-03,  3.31814E-03,  3.21606E-03,  3.11588E-03,  3.01818E-03,  2.92342E-03,  2.83191E-03,  2.74387E-03,  2.65940E-03,  2.57855E-03,  2.50130E-03,  2.42760E-03,  2.35734E-03,  2.29041E-03,  2.22666E-03,  2.16597E-03,  2.10816E-03,  2.05309E-03,  2.00059E-03,
 -8.30761E-03, -8.52315E-03, -8.74199E-03, -8.96376E-03, -9.18804E-03, -9.41431E-03, -9.64201E-03, -9.87049E-03, -1.00990E-02, -1.03267E-02, -1.05527E-02, -1.07760E-02, -1.09953E-02, -1.12094E-02, -1.14170E-02, -1.16165E-02, -1.18063E-02, -1.19846E-02, -1.21494E-02, -1.22988E-02, -1.24306E-02, -1.25425E-02, -1.26322E-02, -1.26974E-02, -1.27355E-02, -1.27442E-02, -1.27212E-02, -1.26642E-02, -1.25711E-02, -1.24403E-02, -1.22700E-02, -1.20593E-02, -1.18072E-02, -1.15135E-02, -1.11782E-02, -1.08021E-02, -1.03863E-02, -9.93223E-03, -9.44205E-03, -8.91817E-03, -8.36337E-03, -7.78074E-03, -7.17363E-03, -6.54557E-03, -5.90024E-03, -5.24144E-03, -4.57308E-03, -3.89914E-03, -3.22368E-03, -2.55086E-03, -1.88491E-03, -1.23017E-03, -5.91051E-04,  2.79835E-05,  6.22459E-04,  1.18797E-03,  1.72028E-03,  2.21542E-03,  2.66986E-03,  3.08062E-03,  3.44543E-03,  3.76278E-03,  4.03209E-03,  4.25367E-03,  4.42873E-03,  4.55931E-03,  4.64820E-03,  4.69875E-03,  4.71476E-03,  4.70028E-03,  4.65948E-03,  4.59648E-03,  4.51523E-03,  4.41944E-03,  4.31252E-03,  4.19747E-03,  4.07696E-03,  3.95327E-03,  3.82830E-03,  3.70362E-03,  3.58052E-03,  3.45997E-03,  3.34274E-03,  3.22937E-03,  3.12024E-03,  3.01558E-03,  2.91552E-03,  2.82008E-03,  2.72922E-03,  2.64283E-03,  2.56078E-03,  2.48289E-03,  2.40898E-03,  2.33884E-03,  2.27227E-03,  2.20906E-03,  2.14902E-03,  2.09193E-03,
 -8.53111E-03, -8.76050E-03, -8.99393E-03, -9.23103E-03, -9.47138E-03, -9.71451E-03, -9.95983E-03, -1.02067E-02, -1.04543E-02, -1.07019E-02, -1.09485E-02, -1.11929E-02, -1.14341E-02, -1.16706E-02, -1.19011E-02, -1.21237E-02, -1.23369E-02, -1.25386E-02, -1.27268E-02, -1.28991E-02, -1.30533E-02, -1.31867E-02, -1.32968E-02, -1.33807E-02, -1.34356E-02, -1.34589E-02, -1.34476E-02, -1.33993E-02, -1.33113E-02, -1.31814E-02, -1.30079E-02, -1.27892E-02, -1.25243E-02, -1.22126E-02, -1.18544E-02, -1.14501E-02, -1.10011E-02, -1.05090E-02, -9.97635E-03, -9.40574E-03, -8.80041E-03, -8.16388E-03, -7.49992E-03, -6.81250E-03, -6.10575E-03, -5.38387E-03, -4.65119E-03, -3.91206E-03, -3.17096E-03, -2.43244E-03, -1.70118E-03, -9.82016E-04, -2.79908E-04,  4.00044E-04,  1.05266E-03,  1.67276E-03,  2.25530E-03,  2.79549E-03,  3.28902E-03,  3.73223E-03,  4.12228E-03,  4.45734E-03,  4.73669E-03,  4.96076E-03,  5.13112E-03,  5.25041E-03,  5.32215E-03,  5.35059E-03,  5.34050E-03,  5.29689E-03,  5.22487E-03,  5.12943E-03,  5.01530E-03,  4.88683E-03,  4.74796E-03,  4.60212E-03,  4.45227E-03,  4.30089E-03,  4.15002E-03,  4.00128E-03,  3.85595E-03,  3.71497E-03,  3.57903E-03,  3.44858E-03,  3.32389E-03,  3.20509E-03,  3.09219E-03,  2.98509E-03,  2.88363E-03,  2.78763E-03,  2.69684E-03,  2.61099E-03,  2.52983E-03,  2.45306E-03,  2.38043E-03,  2.31167E-03,  2.24651E-03,  2.18471E-03,
 -8.75864E-03, -9.00263E-03, -9.25146E-03, -9.50481E-03, -9.76225E-03, -1.00233E-02, -1.02875E-02, -1.05540E-02, -1.08223E-02, -1.10913E-02, -1.13602E-02, -1.16277E-02, -1.18927E-02, -1.21538E-02, -1.24094E-02, -1.26577E-02, -1.28970E-02, -1.31249E-02, -1.33394E-02, -1.35378E-02, -1.37175E-02, -1.38758E-02, -1.40094E-02, -1.41155E-02, -1.41906E-02, -1.42315E-02, -1.42349E-02, -1.41978E-02, -1.41171E-02, -1.39900E-02, -1.38144E-02, -1.35882E-02, -1.33102E-02, -1.29797E-02, -1.25966E-02, -1.21616E-02, -1.16761E-02, -1.11420E-02, -1.05620E-02, -9.93925E-03, -9.27751E-03, -8.58074E-03, -7.85324E-03, -7.09951E-03, -6.32414E-03, -5.53181E-03, -4.72725E-03, -3.91524E-03, -3.10064E-03, -2.28841E-03, -1.48368E-03, -6.91791E-04,  8.16763E-05,  8.30907E-04,  1.54989E-03,  2.23250E-03,  2.87266E-03,  3.46456E-03,  4.00283E-03,  4.48290E-03,  4.90120E-03,  5.25539E-03,  5.54458E-03,  5.76935E-03,  5.93173E-03,  6.03512E-03,  6.08406E-03,  6.08397E-03,  6.04082E-03,  5.96091E-03,  5.85050E-03,  5.71566E-03,  5.56204E-03,  5.39475E-03,  5.21834E-03,  5.03667E-03,  4.85303E-03,  4.67007E-03,  4.48993E-03,  4.31424E-03,  4.14422E-03,  3.98074E-03,  3.82435E-03,  3.67537E-03,  3.53393E-03,  3.40000E-03,  3.27343E-03,  3.15400E-03,  3.04142E-03,  2.93535E-03,  2.83546E-03,  2.74136E-03,  2.65270E-03,  2.56911E-03,  2.49025E-03,  2.41579E-03,  2.34541E-03,  2.27881E-03,
 -8.98987E-03, -9.24923E-03, -9.51431E-03, -9.78484E-03, -1.00604E-02, -1.03406E-02, -1.06248E-02, -1.09125E-02, -1.12029E-02, -1.14950E-02, -1.17880E-02, -1.20807E-02, -1.23717E-02, -1.26597E-02, -1.29429E-02, -1.32197E-02, -1.34879E-02, -1.37452E-02, -1.39892E-02, -1.42172E-02, -1.44262E-02, -1.46130E-02, -1.47742E-02, -1.49062E-02, -1.50053E-02, -1.50677E-02, -1.50894E-02, -1.50667E-02, -1.49960E-02, -1.48740E-02, -1.46979E-02, -1.44651E-02, -1.41740E-02, -1.38236E-02, -1.34138E-02, -1.29452E-02, -1.24193E-02, -1.18384E-02, -1.12056E-02, -1.05246E-02, -9.79969E-03, -9.03543E-03, -8.23678E-03, -7.40881E-03, -6.55668E-03, -5.68558E-03, -4.80067E-03, -3.90712E-03, -3.01017E-03, -2.11516E-03, -1.22765E-03, -3.53493E-04,  5.01079E-04,  1.32945E-03,  2.12461E-03,  2.87931E-03,  3.58616E-03,  4.23796E-03,  4.82801E-03,  5.35046E-03,  5.80071E-03,  6.17577E-03,  6.47443E-03,  6.69745E-03,  6.84752E-03,  6.92904E-03,  6.94790E-03,  6.91104E-03,  6.82609E-03,  6.70091E-03,  6.54328E-03,  6.36057E-03,  6.15953E-03,  5.94618E-03,  5.72570E-03,  5.50244E-03,  5.27997E-03,  5.06109E-03,  4.84798E-03,  4.64221E-03,  4.44489E-03,  4.25674E-03,  4.07811E-03,  3.90914E-03,  3.74976E-03,  3.59973E-03,  3.45873E-03,  3.32634E-03,  3.20213E-03,  3.08560E-03,  2.97628E-03,  2.87367E-03,  2.77731E-03,  2.68674E-03,  2.60152E-03,  2.52125E-03,  2.44555E-03,  2.37407E-03,
 -9.22443E-03, -9.49992E-03, -9.78212E-03, -1.00708E-02, -1.03656E-02, -1.06661E-02, -1.09717E-02, -1.12820E-02, -1.15960E-02, -1.19131E-02, -1.22321E-02, -1.25520E-02, -1.28714E-02, -1.31888E-02, -1.35025E-02, -1.38106E-02, -1.41110E-02, -1.44011E-02, -1.46784E-02, -1.49399E-02, -1.51823E-02, -1.54020E-02, -1.55952E-02, -1.57578E-02, -1.58855E-02, -1.59738E-02, -1.60181E-02, -1.60138E-02, -1.59567E-02, -1.58427E-02, -1.56681E-02, -1.54299E-02, -1.51259E-02, -1.47548E-02, -1.43162E-02, -1.38107E-02, -1.32401E-02, -1.26071E-02, -1.19152E-02, -1.11687E-02, -1.03727E-02, -9.53264E-03, -8.65408E-03, -7.74285E-03, -6.80476E-03, -5.84551E-03, -4.87073E-03, -3.88594E-03, -2.89671E-03, -1.90869E-03, -9.27802E-04,  3.96075E-05,  9.86659E-04,  1.90584E-03,  2.78901E-03,  3.62748E-03,  4.41222E-03,  5.13422E-03,  5.78493E-03,  6.35678E-03,  6.84373E-03,  7.24178E-03,  7.54932E-03,  7.76732E-03,  7.89931E-03,  7.95111E-03,  7.93041E-03,  7.84623E-03,  7.70833E-03,  7.52666E-03,  7.31087E-03,  7.06997E-03,  6.81202E-03,  6.54403E-03,  6.27190E-03,  6.00045E-03,  5.73349E-03,  5.47389E-03,  5.22379E-03,  4.98461E-03,  4.75726E-03,  4.54219E-03,  4.33953E-03,  4.14912E-03,  3.97064E-03,  3.80359E-03,  3.64743E-03,  3.50153E-03,  3.36524E-03,  3.23791E-03,  3.11890E-03,  3.00758E-03,  2.90335E-03,  2.80567E-03,  2.71400E-03,  2.62785E-03,  2.54677E-03,  2.47035E-03,
 -9.46188E-03, -9.75426E-03, -1.00545E-02, -1.03622E-02, -1.06773E-02, -1.09993E-02, -1.13278E-02, -1.16621E-02, -1.20016E-02, -1.23454E-02, -1.26926E-02, -1.30419E-02, -1.33921E-02, -1.37416E-02, -1.40888E-02, -1.44315E-02, -1.47675E-02, -1.50943E-02, -1.54090E-02, -1.57084E-02, -1.59889E-02, -1.62465E-02, -1.64769E-02, -1.66754E-02, -1.68371E-02, -1.69567E-02, -1.70288E-02, -1.70480E-02, -1.70089E-02, -1.69065E-02, -1.67363E-02, -1.64945E-02, -1.61782E-02, -1.57855E-02, -1.53159E-02, -1.47700E-02, -1.41497E-02, -1.34581E-02, -1.26996E-02, -1.18794E-02, -1.10033E-02, -1.00776E-02, -9.10908E-03, -8.10430E-03, -7.06979E-03, -6.01185E-03, -4.93654E-03, -3.84971E-03, -2.75711E-03, -1.66459E-03, -5.78314E-04,  4.94985E-04,  1.54781E-03,  2.57171E-03,  3.55720E-03,  4.49386E-03,  5.37055E-03,  6.17584E-03,  6.89866E-03,  7.52902E-03,  8.05883E-03,  8.48262E-03,  8.79816E-03,  9.00668E-03,  9.11289E-03,  9.12455E-03,  9.05185E-03,  8.90663E-03,  8.70153E-03,  8.44921E-03,  8.16171E-03,  7.85001E-03,  7.52373E-03,  7.19100E-03,  6.85846E-03,  6.53132E-03,  6.21354E-03,  5.90798E-03,  5.61657E-03,  5.34047E-03,  5.08026E-03,  4.83604E-03,  4.60756E-03,  4.39432E-03,  4.19565E-03,  4.01076E-03,  3.83880E-03,  3.67890E-03,  3.53017E-03,  3.39177E-03,  3.26287E-03,  3.14269E-03,  3.03050E-03,  2.92563E-03,  2.82744E-03,  2.73537E-03,  2.64888E-03,  2.56750E-03,
 -9.70169E-03, -1.00118E-02, -1.03308E-02, -1.06587E-02, -1.09952E-02, -1.13400E-02, -1.16927E-02, -1.20527E-02, -1.24193E-02, -1.27918E-02, -1.31692E-02, -1.35504E-02, -1.39340E-02, -1.43186E-02, -1.47023E-02, -1.50832E-02, -1.54587E-02, -1.58263E-02, -1.61830E-02, -1.65251E-02, -1.68490E-02, -1.71501E-02, -1.74238E-02, -1.76645E-02, -1.78667E-02, -1.80242E-02, -1.81305E-02, -1.81791E-02, -1.81636E-02, -1.80776E-02, -1.79156E-02, -1.76726E-02, -1.73450E-02, -1.69302E-02, -1.64272E-02, -1.58367E-02, -1.51609E-02, -1.44035E-02, -1.35697E-02, -1.26658E-02, -1.16988E-02, -1.06763E-02, -9.60612E-03, -8.49596E-03, -7.35318E-03, -6.18471E-03, -4.99702E-03, -3.79615E-03, -2.58788E-03, -1.37805E-03, -1.72844E-04,  1.02083E-03,  2.19497E-03,  3.34018E-03,  4.44548E-03,  5.49832E-03,  6.48482E-03,  7.39034E-03,  8.20029E-03,  8.90126E-03,  9.48214E-03,  9.93534E-03,  1.02576E-02,  1.04506E-02,  1.05205E-02,  1.04781E-02,  1.03368E-02,  1.01126E-02,  9.82196E-03,  9.48103E-03,  9.10492E-03,  8.70703E-03,  8.29875E-03,  7.88941E-03,  7.48634E-03,  7.09505E-03,  6.71949E-03,  6.36229E-03,  6.02501E-03,  5.70838E-03,  5.41247E-03,  5.13688E-03,  4.88088E-03,  4.64352E-03,  4.42370E-03,  4.22025E-03,  4.03197E-03,  3.85770E-03,  3.69628E-03,  3.54663E-03,  3.40772E-03,  3.27861E-03,  3.15841E-03,  3.04633E-03,  2.94162E-03,  2.84361E-03,  2.75171E-03,  2.66537E-03,
 -9.94328E-03, -1.02718E-02, -1.06106E-02, -1.09597E-02, -1.13187E-02, -1.16876E-02, -1.20659E-02, -1.24531E-02, -1.28487E-02, -1.32519E-02, -1.36618E-02, -1.40774E-02, -1.44973E-02, -1.49199E-02, -1.53436E-02, -1.57663E-02, -1.61855E-02, -1.65985E-02, -1.70020E-02, -1.73925E-02, -1.77657E-02, -1.81169E-02, -1.84406E-02, -1.87309E-02, -1.89813E-02, -1.91844E-02, -1.93328E-02, -1.94184E-02, -1.94335E-02, -1.93701E-02, -1.92213E-02, -1.89807E-02, -1.86433E-02, -1.82060E-02, -1.76672E-02, -1.70274E-02, -1.62893E-02, -1.54573E-02, -1.45378E-02, -1.35385E-02, -1.24679E-02, -1.13353E-02, -1.01499E-02, -8.92072E-03, -7.65620E-03, -6.36394E-03, -5.05072E-03, -3.72262E-03, -2.38520E-03, -1.04392E-03,  2.95382E-04,  1.62596E-03,  2.93958E-03,  4.22599E-03,  5.47259E-03,  6.66426E-03,  7.78360E-03,  8.81162E-03,  9.72882E-03,  1.05168E-02,  1.11600E-02,  1.16477E-02,  1.19749E-02,  1.21439E-02,  1.21632E-02,  1.20475E-02,  1.18156E-02,  1.14886E-02,  1.10885E-02,  1.06360E-02,  1.01502E-02,  9.64728E-03,  9.14066E-03,  8.64084E-03,  8.15571E-03,  7.69084E-03,  7.24991E-03,  6.83505E-03,  6.44719E-03,  6.08638E-03,  5.75199E-03,  5.44294E-03,  5.15789E-03,  4.89528E-03,  4.65351E-03,  4.43095E-03,  4.22599E-03,  4.03711E-03,  3.86285E-03,  3.70188E-03,  3.55295E-03,  3.41491E-03,  3.28673E-03,  3.16746E-03,  3.05627E-03,  2.95237E-03,  2.85510E-03,  2.76382E-03,
